state,year,barrels,type
MD,2008,47959.13,Bottles and Cans
MD,2009,48841.34,Bottles and Cans
MD,2010,63027.57,Bottles and Cans
MD,2011,74120.55,Bottles and Cans
MD,2012,75360.92,Bottles and Cans
MD,2013,89731.45,Bottles and Cans
MD,2014,104085.75,Bottles and Cans
MD,2015,113778.85,Bottles and Cans
MD,2016,110105.25,Bottles and Cans
MD,2017,109556.2,Bottles and Cans
MD,2018,221125.22,Bottles and Cans
MD,2019,302088.7,Bottles and Cans
ME,2008,76817.87,Bottles and Cans
ME,2009,74021.63,Bottles and Cans
ME,2010,88631.9,Bottles and Cans
ME,2011,114906.5,Bottles and Cans
ME,2012,124123.97,Bottles and Cans
ME,2013,122877.92,Bottles and Cans
ME,2014,132025.53,Bottles and Cans
ME,2015,136646.89,Bottles and Cans
ME,2016,136065.27,Bottles and Cans
ME,2017,126135.75,Bottles and Cans
ME,2018,83500.42,Bottles and Cans
ME,2019,73118.94,Bottles and Cans
MI,2008,83937.28,Bottles and Cans
MI,2009,95754.44,Bottles and Cans
MI,2010,129159.89,Bottles and Cans
MI,2011,198151.04,Bottles and Cans
MI,2012,284832.91,Bottles and Cans
MI,2013,272746.16,Bottles and Cans
MI,2014,419973.01,Bottles and Cans
MI,2015,542697.93,Bottles and Cans
MI,2016,630694.91,Bottles and Cans
MI,2017,781680.17,Bottles and Cans
MI,2018,902093.81,Bottles and Cans
MI,2019,948026.03,Bottles and Cans
MN,2008,223517.81,Bottles and Cans
MN,2009,221315.48,Bottles and Cans
MN,2010,212445.88,Bottles and Cans
MN,2011,259668.58,Bottles and Cans
MN,2012,232657.19,Bottles and Cans
MN,2013,253317.42,Bottles and Cans
MN,2014,285724.01,Bottles and Cans
MN,2015,314887.35,Bottles and Cans
MN,2016,305430.57,Bottles and Cans
MN,2017,331456.26,Bottles and Cans
MN,2018,442264.6,Bottles and Cans
MN,2019,1393791.89,Bottles and Cans
MO,2008,14124480.48,Bottles and Cans
MO,2009,13429771.56,Bottles and Cans
MO,2010,12455434.53,Bottles and Cans
MO,2011,12278066.32,Bottles and Cans
MO,2012,12808818.03,Bottles and Cans
MO,2013,12586027.39,Bottles and Cans
MO,2014,12366680.51,Bottles and Cans
MO,2015,12493739.84,Bottles and Cans
MO,2016,12567319.73,Bottles and Cans
MO,2017,12110143.63,Bottles and Cans
MO,2018,11927936.41,Bottles and Cans
MO,2019,11393001.56,Bottles and Cans
MS,2008,1952.64,Bottles and Cans
MS,2009,3521.57,Bottles and Cans
MS,2010,5188.87,Bottles and Cans
MS,2011,6646.41,Bottles and Cans
MS,2012,8051.63,Bottles and Cans
MS,2013,10044.08,Bottles and Cans
MS,2014,13409.98,Bottles and Cans
MS,2015,11793.55,Bottles and Cans
MS,2016,8237.78,Bottles and Cans
MS,2017,6798.97,Bottles and Cans
MS,2018,6788.76,Bottles and Cans
MS,2019,6174.98,Bottles and Cans
MT,2008,32902.39,Bottles and Cans
MT,2009,36322.98,Bottles and Cans
MT,2010,42673.97,Bottles and Cans
MT,2011,50457.49,Bottles and Cans
MT,2012,53243.54,Bottles and Cans
MT,2013,56224.96,Bottles and Cans
MT,2014,64538.3,Bottles and Cans
MT,2015,71159.76,Bottles and Cans
MT,2016,65207.68,Bottles and Cans
MT,2017,67927.38,Bottles and Cans
MT,2018,63609.62,Bottles and Cans
MT,2019,60992.74,Bottles and Cans
NC,2008,6717728.97,Bottles and Cans
NC,2009,7129633.14,Bottles and Cans
NC,2010,6943748.84,Bottles and Cans
NC,2011,6600785.11,Bottles and Cans
NC,2012,6735801.22,Bottles and Cans
NC,2013,6515751.81,Bottles and Cans
NC,2014,6311112.23,Bottles and Cans
NC,2015,6341549.69,Bottles and Cans
NC,2016,3389539.45,Bottles and Cans
NC,2017,880391.57,Bottles and Cans
NC,2018,935057.28,Bottles and Cans
NC,2019,982104.25,Bottles and Cans
ND,2008,0,Bottles and Cans
ND,2009,0,Bottles and Cans
ND,2010,0,Bottles and Cans
ND,2011,0,Bottles and Cans
ND,2012,0,Bottles and Cans
ND,2013,133.11,Bottles and Cans
ND,2014,1363.95,Bottles and Cans
ND,2015,1891.37,Bottles and Cans
ND,2016,771.99,Bottles and Cans
ND,2017,1480.51,Bottles and Cans
ND,2018,241.84,Bottles and Cans
ND,2019,36.88,Bottles and Cans
NE,2008,1792.16,Bottles and Cans
NE,2009,2575.65,Bottles and Cans
NE,2010,4950.25,Bottles and Cans
NE,2011,5885.5,Bottles and Cans
NE,2012,6780.45,Bottles and Cans
NE,2013,2073.18,Bottles and Cans
NE,2014,12738.17,Bottles and Cans
NE,2015,10792.33,Bottles and Cans
NE,2016,13944.91,Bottles and Cans
NE,2017,13914.72,Bottles and Cans
NE,2018,13114.23,Bottles and Cans
NE,2019,13354.17,Bottles and Cans
NH,2008,2786576.49,Bottles and Cans
NH,2009,2817627.46,Bottles and Cans
NH,2010,2885016.06,Bottles and Cans
NH,2011,2734941.12,Bottles and Cans
NH,2012,2927305.84,Bottles and Cans
NH,2013,2854790.85,Bottles and Cans
NH,2014,2745595.26,Bottles and Cans
NH,2015,2856383.87,Bottles and Cans
NH,2016,2837839.95,Bottles and Cans
NH,2017,2746031.96,Bottles and Cans
NH,2018,2579021.31,Bottles and Cans
NH,2019,2276766.48,Bottles and Cans
NJ,2008,6600357.44,Bottles and Cans
NJ,2009,6522536.49,Bottles and Cans
NJ,2010,6920666.14,Bottles and Cans
NJ,2011,5908969.19,Bottles and Cans
NJ,2012,4572952.86,Bottles and Cans
NJ,2013,4264380.69,Bottles and Cans
NJ,2014,4316395.59,Bottles and Cans
NJ,2015,3221454.37,Bottles and Cans
NJ,2016,2660433.24,Bottles and Cans
NJ,2017,2439250.35,Bottles and Cans
NJ,2018,2770939.78,Bottles and Cans
NJ,2019,2507478.59,Bottles and Cans
NM,2008,4447.6,Bottles and Cans
NM,2009,6387.49,Bottles and Cans
NM,2010,9364.7,Bottles and Cans
NM,2011,14169.83,Bottles and Cans
NM,2012,17164.28,Bottles and Cans
NM,2013,18327.17,Bottles and Cans
NM,2014,26140.3,Bottles and Cans
NM,2015,30487.22,Bottles and Cans
NM,2016,29126.65,Bottles and Cans
NM,2017,38350.28,Bottles and Cans
NM,2018,48212.94,Bottles and Cans
NM,2019,55513.97,Bottles and Cans
NV,2008,234.05,Bottles and Cans
NV,2009,700.47,Bottles and Cans
NV,2010,939.85,Bottles and Cans
