state,year,barrels,type
SC,2009,6192.25,Kegs and Barrels
SC,2010,7558.6,Kegs and Barrels
SC,2011,11769.84,Kegs and Barrels
SC,2012,15831.87,Kegs and Barrels
SC,2013,18103.48,Kegs and Barrels
SC,2014,19762.34,Kegs and Barrels
SC,2015,19492.06,Kegs and Barrels
SC,2016,13380.82,Kegs and Barrels
SC,2017,20748.53,Kegs and Barrels
SC,2018,14709.1,Kegs and Barrels
SC,2019,14289.9,Kegs and Barrels
SD,2008,572,Kegs and Barrels
SD,2009,559,Kegs and Barrels
SD,2010,586,Kegs and Barrels
SD,2011,1237.88,Kegs and Barrels
SD,2012,1521.5,Kegs and Barrels
SD,2013,1753.5,Kegs and Barrels
SD,2014,1923.75,Kegs and Barrels
SD,2015,2406.63,Kegs and Barrels
SD,2016,2606.53,Kegs and Barrels
SD,2017,3319.71,Kegs and Barrels
SD,2018,2298.83,Kegs and Barrels
SD,2019,2675.96,Kegs and Barrels
TN,2008,10155.49,Kegs and Barrels
TN,2009,10982.71,Kegs and Barrels
TN,2010,12988.82,Kegs and Barrels
TN,2011,17597.04,Kegs and Barrels
TN,2012,28387.58,Kegs and Barrels
TN,2013,31767.12,Kegs and Barrels
TN,2014,60753.94,Kegs and Barrels
TN,2015,87084.56,Kegs and Barrels
TN,2016,72261.38,Kegs and Barrels
TN,2017,64760.02,Kegs and Barrels
TN,2018,54131.48,Kegs and Barrels
TN,2019,35017.56,Kegs and Barrels
TX,2008,1094276.99,Kegs and Barrels
TX,2009,1131030.13,Kegs and Barrels
TX,2010,1143881.77,Kegs and Barrels
TX,2011,1152638.24,Kegs and Barrels
TX,2012,1144585.8,Kegs and Barrels
TX,2013,1038542.78,Kegs and Barrels
TX,2014,1060536.45,Kegs and Barrels
TX,2015,1037119.99,Kegs and Barrels
TX,2016,1073417.23,Kegs and Barrels
TX,2017,1057055.7,Kegs and Barrels
TX,2018,1069103.27,Kegs and Barrels
TX,2019,1056401.63,Kegs and Barrels
UT,2008,26717.11,Kegs and Barrels
UT,2009,25943.15,Kegs and Barrels
UT,2010,29194.74,Kegs and Barrels
UT,2011,34548.18,Kegs and Barrels
UT,2012,43143.32,Kegs and Barrels
UT,2013,45937.83,Kegs and Barrels
UT,2014,51425.32,Kegs and Barrels
UT,2015,54961.49,Kegs and Barrels
UT,2016,54169.39,Kegs and Barrels
UT,2017,54184.15,Kegs and Barrels
UT,2018,51234.23,Kegs and Barrels
UT,2019,39701.03,Kegs and Barrels
VA,2008,1425448.78,Kegs and Barrels
VA,2009,1186492.73,Kegs and Barrels
VA,2010,1152090.46,Kegs and Barrels
VA,2011,1165692.37,Kegs and Barrels
VA,2012,1175467.01,Kegs and Barrels
VA,2013,1134449.57,Kegs and Barrels
VA,2014,1048495.09,Kegs and Barrels
VA,2015,1017740.25,Kegs and Barrels
